time	y
0	-0.0852315959721374
0.01	0.104925906889173
0.02	0.303225383177498
0.03	0.466525106138853
0.04	0.582665108187462
0.05	0.755775894988928
0.06	0.829143053776251
0.07	0.904377110667141
0.08	0.848663197868233
0.09	0.908484612345864
0.1	0.915612717879866
0.11	0.993112740822885
0.12	1.00003235860326
0.13	0.945917226431765
0.14	0.964895211276061
0.15	0.84963400156505
0.16	0.88729609898919
0.17	0.887934303902315
0.18	0.784304870328399
0.19	0.620924123014632
0.2	0.591650290847354
0.21	0.526845419064529
0.22	0.516104800122243
0.23	0.437342273153927
0.24	0.302971264039104
0.25	0.267908521895901
0.26	0.0960680258703595
0.27	0.151068101234724
0.28	0.00964817158775806
