time	y
0	0.00804618318603596
0.01	0.0320964995990028
0.02	0.34722018835193
0.03	0.34610459669359
0.04	0.480292224480764
0.05	0.569568445692724
0.06	0.647342953888897
0.07	0.708236976754413
0.08	0.830825991554243
0.09	0.938190681134356
0.1	1.01454219862066
0.11	1.16964999648864
0.12	1.07089042173031
0.13	1.17469743985952
0.14	1.22287906022444
0.15	1.11530011767205
0.16	1.10525163112103
0.17	1.05016700656566
0.18	1.06918059801431
0.19	0.988694136421287
0.2	0.741334281621681
0.21	0.615151434534734
0.22	0.221740358067114
0.23	-0.069017371651291
