curveId,l1,l2,l3,l4,l5
1,0,0.7669675484186426,1.7573213150181568,2.155485769084471,2.691880435681977
2,0,0.7454438356972695,1.8297180684845291,2.0561799370137415,2.628928777542092
3,0,0.47991017673372527,1.402199904454189,1.670154160928171,2.264866155488537
4,0,0.49703059785383663,1.342644919242763,1.5459236994429881,1.9945728008284147
5,0,0.9159279900050133,1.5700652990305148,1.9504950126472023,2.923284841989206
6,0,0.5887911647491547,1.383722974700094,1.7325263589633733,2.150898104167581
7,0,0.4106755534446843,1.1910136788344436,1.4196386488777049,1.9737177722130574
8,0,0.4614792650537885,1.4627151629861355,1.9823082435909656,2.4252046831821095
9,0,0.4149404761522333,1.117660072066779,1.298279093422212,1.7335677826812343
10,0,0.6042096722681354,1.293642341469891,1.4682534348203229,1.938691813672707
11,0,0.49879683314339207,1.2158330945155869,1.652585767075595,2.5277621684095317
12,0,0.4608204592540005,1.1127942428682331,1.5014325689402437,2.047796257497288
13,0,0.5641209705596097,1.5356673844924107,1.994140974308975,2.5364780290057523
14,0,0.5119696052608245,1.5870308119081586,1.749835729842895,2.497657143942537
15,0,0.4193246282114267,1.1036718969090709,1.4890708960770738,2.020985605820934
16,0,0.7887388385441966,1.5026160257756025,1.6768556626656728,2.1704659757347327
17,0,0.4889694029167869,1.1686917766195968,1.394301306612327,1.8547082397197736
18,0,0.4831393994515672,1.241749300501052,1.5757122863604218,2.1789387389728843
19,0,0.6173840918336158,1.4513279616540848,1.6234337525466285,2.389758809979413
20,0,0.4859356763330195,1.282152149085513,1.5801910119093685,2.166915363106248
21,0,0.4789064852928963,1.4063264580750192,1.7869454888231944,2.4067296891543117
22,0,0.5852312142387797,1.4639228271354245,1.6176998338633592,2.145678815489004
23,0,0.7671855425065718,1.6524753097556544,1.908298863941597,2.362694261796643
24,0,0.41270932491472845,1.066361068350114,1.4623125626040598,2.1575574021581194
25,0,0.5008501683388547,1.2079257937188346,1.4566523888268763,2.013151329424619
26,0,0.43226898807716474,1.3138051810008404,1.6788062474399745,2.192216648061668
27,0,0.47332597747754357,1.2021696044978942,1.4358326153214143,2.149634927894426
28,0,0.5989853196277449,1.2686501223055715,1.864946826775289,2.4031115025465635
29,0,0.5972113230906745,1.2681333696824244,1.45945346657086,2.2001556770063746
30,0,0.5325192833644878,1.5617833372956214,1.7494755882594935,2.326415683791617
31,0,0.7689420354986123,1.6104951611966039,1.8715992736359917,2.3647203493564963
32,0,0.4624295693526341,1.3567038923284862,1.656886270669522,2.098927688955957
33,0,0.5589568245355945,1.4898987088170292,1.7665918935304323,2.2271123456399624
34,0,0.42999098079730236,1.1045654057014382,1.300475230227257,1.7138334642173985
35,0,0.406697382648558,1.2922920507628075,1.8126998996293124,2.287624419057357
36,0,0.4994124330625384,1.3012165468373973,1.453783111841274,2.1295596176916334
37,0,0.6035055543272713,1.537408095442356,1.9125275547984966,2.6743357153385467
38,0,0.4110697950954354,1.177129919331342,1.3782775634227804,2.1051526206991196
39,0,0.4171592068229951,1.4070691287228818,1.577529944990265,2.0896081696274518
40,0,0.4050880333436711,1.0560797699438296,1.2624513661383148,1.730613605857986
41,0,0.43368743347624616,1.2346959734378729,1.7609893525245055,2.230914375148531
42,0,0.6320472268650393,1.340024179503932,1.5627479385386485,1.99864486582282
43,0,0.441309134220292,1.1268405048851062,1.4049390717588237,1.8113632730402538
44,0,0.5081304622100447,1.3204589206782056,1.7030143578035792,2.206576853908862
45,0,0.5181161694713292,1.1965543664668152,1.7945028859072416,2.5058100614387655
46,0,0.5599040507230205,1.4032232834336233,1.7636510403300347,2.1767923875993738
47,0,0.45601434170478794,1.1311054130855402,1.399407673331151,2.0024525761967484
48,0,0.4025962506354264,1.0639591562498303,1.3306763575408738,1.7313484793515532
49,0,0.7035075342249795,1.5784892223550941,1.8996287360925221,2.324852053401513
50,0,0.7896555333121738,1.5163880071956322,1.7830047499856758,2.29782424303514
