curveId,Category,time,y1,y2
1,HIGH_PEAK,0,-0.1790157684962796,0.18169945451658678
1,HIGH_PEAK,0.01,-0.23202556117155865,0.2078034799768796
1,HIGH_PEAK,0.02,-0.18425911717691226,0.20279391735835256
1,HIGH_PEAK,0.03,-0.2029776309678147,0.19982407052218806
1,HIGH_PEAK,0.04,-0.20014394969057425,0.22060945332338278
1,HIGH_PEAK,0.05,-0.22104131890541537,0.19347715768321982
1,HIGH_PEAK,0.06,-0.18673339383523743,0.2299398444641758
1,HIGH_PEAK,0.07,-0.23617622472970132,0.2480377734792034
1,HIGH_PEAK,0.08,-0.20858655743563054,0.20849299449615435
1,HIGH_PEAK,0.09,-0.21430621176795003,0.24302732936380753
1,HIGH_PEAK,0.1,-0.21348840611381187,0.2896257435051612
1,HIGH_PEAK,0.11,-0.22518339713275218,0.22129962116028049
1,HIGH_PEAK,0.12,-0.25478993236959474,0.2262739580653033
1,HIGH_PEAK,0.13,-0.24612230528088824,0.2818949324799548
1,HIGH_PEAK,0.14,-0.25536591794375607,0.2772062218686242
1,HIGH_PEAK,0.15,-0.268506547350937,0.2933671209382123
1,HIGH_PEAK,0.16,-0.251362609105302,0.2916561872556574
1,HIGH_PEAK,0.17,-0.2903142685919375,0.2729188660685711
1,HIGH_PEAK,0.18,-0.316292155486539,0.2949479310380451
1,HIGH_PEAK,0.19,-0.28808986167967016,0.31741102071103733
1,HIGH_PEAK,0.2,-0.2705974630375765,0.29027951055090156
1,HIGH_PEAK,0.21,-0.33548194758372524,0.29970631335926723
1,HIGH_PEAK,0.22,-0.28316544705386915,0.3165038341831238
1,HIGH_PEAK,0.23,-0.30544838536306523,0.33231685801891925
1,HIGH_PEAK,0.24,-0.2887979355433708,0.31382574063100815
1,HIGH_PEAK,0.25,-0.32386367493727075,0.3621640777789255
1,HIGH_PEAK,0.26,-0.32862418850271535,0.3337882155747551
1,HIGH_PEAK,0.27,-0.34367317502352196,0.3484522243180965
1,HIGH_PEAK,0.28,-0.3074402391973798,0.3594861027397079
1,HIGH_PEAK,0.29,-0.3212414983471895,0.37085339915262916
1,HIGH_PEAK,0.3,-0.3658198614592816,0.372207450578019
1,HIGH_PEAK,0.31,-0.33674971670866294,0.3966053758742148
1,HIGH_PEAK,0.32,-0.3581179146999026,0.3423574270960985
