curveId,Category,l1,l2,l3
1,TWO_PEAKS,0,1.25,1.9799074340509542
2,TWO_PEAKS,0,1.25,2.1770393893920392
3,TWO_PEAKS,0,1.25,2.105993499286998
4,TWO_PEAKS,0,1.25,2.3055840389760225
5,TWO_PEAKS,0,1.25,2.2512336221993143
6,TWO_PEAKS,0,1.25,2.641767594830769
7,TWO_PEAKS,0,1.25,2.528505362362977
8,TWO_PEAKS,0,1.25,2.399528304870442
9,TWO_PEAKS,0,1.25,2.4281637166260426
10,TWO_PEAKS,0,1.25,2.32966986435198
11,TWO_PEAKS,0,1.25,2.64999878646283
12,TWO_PEAKS,0,1.25,2.4260230456997953
13,TWO_PEAKS,0,1.25,2.129222202319101
14,TWO_PEAKS,0,1.25,2.2142221029365468
15,TWO_PEAKS,0,1.25,2.4626542277592107
16,TWO_PEAKS,0,1.25,2.1153133094909062
17,TWO_PEAKS,0,1.25,2.2363000192006335
18,TWO_PEAKS,0,1.25,1.9273325081085075
19,TWO_PEAKS,0,1.25,2.4128499462317983
20,TWO_PEAKS,0,1.25,2.1305817178587065
21,TWO_PEAKS,0,1.25,1.9776093734739164
22,TWO_PEAKS,0,1.25,1.8495474560234757
23,TWO_PEAKS,0,1.25,2.8130285045103296
24,TWO_PEAKS,0,1.25,2.32148999252476
25,TWO_PEAKS,0,1.25,2.513349112065195
26,TWO_PEAKS,0,1.25,2.1885525312641936
27,TWO_PEAKS,0,1.25,2.8490537423858187
28,TWO_PEAKS,0,1.25,2.196383432038245
29,TWO_PEAKS,0,1.25,2.431454048200833
30,TWO_PEAKS,0,1.25,2.0500622089884795
31,TWO_PEAKS,0,1.25,2.033277823073831
32,TWO_PEAKS,0,1.25,2.083630829174467
33,TWO_PEAKS,0,1.25,2.4059147978911204
34,TWO_PEAKS,0,1.25,2.526058541541107
35,TWO_PEAKS,0,1.25,2.188613424353168
36,TWO_PEAKS,0,1.25,2.61232546743081
37,TWO_PEAKS,0,1.25,2.5387807252380727
38,TWO_PEAKS,0,1.25,2.6717021940985277
39,TWO_PEAKS,0,1.25,2.4732366146146356
40,TWO_PEAKS,0,1.25,2.3895173775662877
41,TWO_PEAKS,0,1.25,2.250959052489621
42,TWO_PEAKS,0,1.25,2.126249073586038
43,TWO_PEAKS,0,1.25,2.5571198689468453
44,TWO_PEAKS,0,1.25,2.5485229803972653
45,TWO_PEAKS,0,1.25,2.4766578072201515
46,TWO_PEAKS,0,1.25,2.092650122007167
47,TWO_PEAKS,0,1.25,2.2489746580884717
48,TWO_PEAKS,0,1.25,2.168100781187941
49,TWO_PEAKS,0,1.25,2.627267202096533
50,TWO_PEAKS,0,1.25,1.9789589440711701
51,ONE_PEAK,0,1.25,2.85321071172053
52,ONE_PEAK,0,1.25,1.9121285992384847
53,ONE_PEAK,0,1.25,2.43588391151781
54,ONE_PEAK,0,1.25,2.333316614115333
55,ONE_PEAK,0,1.25,2.756166057680738
56,ONE_PEAK,0,1.25,2.126548357080581
57,ONE_PEAK,0,1.25,2.6882914749713223
58,ONE_PEAK,0,1.25,2.6952104581095835
59,ONE_PEAK,0,1.25,1.953905911125514
60,ONE_PEAK,0,1.25,2.7767000923561906
61,ONE_PEAK,0,1.25,2.5950134696718066
62,ONE_PEAK,0,1.25,2.1917421701545887
63,ONE_PEAK,0,1.25,2.8770230667403096
64,ONE_PEAK,0,1.25,2.5742184866615063
65,ONE_PEAK,0,1.25,2.107166582903125
66,ONE_PEAK,0,1.25,2.4203367310582866
67,ONE_PEAK,0,1.25,2.407588107524028
68,ONE_PEAK,0,1.25,1.8996765166637715
69,ONE_PEAK,0,1.25,2.5871907335804742
70,ONE_PEAK,0,1.25,2.4119269745709193
71,ONE_PEAK,0,1.25,2.8348182710142518
72,ONE_PEAK,0,1.25,1.9513405834219124
73,ONE_PEAK,0,1.25,2.4828772401253834
74,ONE_PEAK,0,1.25,2.6819263313209096
75,ONE_PEAK,0,1.25,2.0883343349213264
76,ONE_PEAK,0,1.25,2.5519971873483223
77,ONE_PEAK,0,1.25,2.5659053024765184
78,ONE_PEAK,0,1.25,2.4626627476930656
79,ONE_PEAK,0,1.25,2.1954657749720305
80,ONE_PEAK,0,1.25,2.5398916682618684
81,ONE_PEAK,0,1.25,2.4264329900279042
82,ONE_PEAK,0,1.25,2.0756282515287867
83,ONE_PEAK,0,1.25,2.2061716612905875
84,ONE_PEAK,0,1.25,2.511871897202805
85,ONE_PEAK,0,1.25,1.8767909434239345
86,ONE_PEAK,0,1.25,2.0544561810346207
87,ONE_PEAK,0,1.25,2.1719664416333653
88,ONE_PEAK,0,1.25,1.9177582540869789
89,ONE_PEAK,0,1.25,1.8516615347540404
90,ONE_PEAK,0,1.25,2.6419307620545847
91,ONE_PEAK,0,1.25,2.4039129946007827
92,ONE_PEAK,0,1.25,2.5232072234365397
93,ONE_PEAK,0,1.25,2.096063493471652
94,ONE_PEAK,0,1.25,2.349356151639072
95,ONE_PEAK,0,1.25,2.6253813903223575
96,ONE_PEAK,0,1.25,2.0120029328215385
97,ONE_PEAK,0,1.25,2.6665951109789785
98,ONE_PEAK,0,1.25,2.0363418217994163
99,ONE_PEAK,0,1.25,2.345266358639401
100,ONE_PEAK,0,1.25,2.0557562214452774
