time	y
0	0.975025704642758
0.01	1.09660324183293
0.02	1.2771860133484
0.03	1.40896489402279
0.04	1.49072848180309
0.05	1.68247007210739
0.06	1.6825712319836
0.07	1.79686225071549
0.08	1.99200466173701
0.09	2.05287629225291
0.1	2.12018316062167
0.11	2.02155840158463
0.12	2.08932714556344
0.13	2.08211599188857
0.14	2.15442825452425
0.15	2.03152704872191
0.16	1.97682585100643
0.17	1.87255082191899
0.18	1.77174569751136
0.19	1.7369778680522
0.2	1.75561862876639
0.21	1.61051639787853
0.22	1.34833311360329
0.23	1.33288313053548
0.24	1.0299502333533
0.25	1.03561214711517
