time	y	z
0	0.0831200993154198	0.0442846179008484
0.01	0.197919644095593	-0.154980471297357
0.02	0.575842025455049	-0.292154159594555
0.03	0.775839261360447	-0.3800526795733
0.04	0.835662129041454	-0.643241181216982
0.05	1.00960792045118	-0.755703102745477
0.06	1.27043147805166	-0.88857820354288
0.07	1.40373345150147	-0.78848862319719
0.08	1.42812648254865	-0.981914944157993
0.09	1.60351033816922	-1.04649668673329
0.1	1.69481263815197	-1.02782700158161
0.11	1.74015946991846	-1.15443196384075
0.12	1.87101100144851	-1.11015983748592
0.13	1.87623591841417	-1.19485186647709
0.14	1.80715652992949	-1.18858726620674
0.15	1.8180650907963	-1.14217478253033
0.16	1.75023508725631	-1.06251836953095
0.17	1.81974373299733	-1.03410060302193
0.18	1.71308685576315	-1.12862276875851
0.19	1.49331532354343	-1.0985306473197
0.2	1.41404536699363	-0.981467879426723
0.21	1.46188850041945	-0.832659805496224
0.22	1.21717724037376	-0.870563059289731
0.23	0.977443238562068	-0.764228972740832
0.24	0.886725400839648	-0.559732318568823
0.25	0.719567584175598	-0.527200242067802
0.26	0.42571322042305	-0.222515526285623
0.27	0.259814430639737	-0.161219006343935
0.28	0.0442842013668269	0.0342606832273304
