time	y	z
0	-0.0328242188319564	-0.0733949570916593
0.01	0.274539320905191	-0.2030293309116
0.02	0.387216063964969	-0.472556655171476
0.03	0.683355322988847	-0.706237904779536
0.04	0.72178128744977	-0.872000852520385
0.05	0.852438103977161	-0.928813782049144
0.06	1.08909348061738	-1.19272550837407
0.07	1.10682796936912	-1.23568357067381
0.08	1.29898871296229	-1.33281955747072
0.09	1.40182303349989	-1.4868960477048
0.1	1.41687610698506	-1.39563312981327
0.11	1.43621852863938	-1.42445947540946
0.12	1.51754968919648	-1.503311049901
0.13	1.37117561060004	-1.64845938505605
0.14	1.41717628607383	-1.5014134278149
0.15	1.45727008520984	-1.49447404708735
0.16	1.41180313084848	-1.3962431123392
0.17	1.35215156019235	-1.50442805840722
0.18	1.21860376341412	-1.37134431335282
0.19	1.11049595790414	-1.17183308555943
0.2	1.07098999748436	-1.02026322939703
0.21	0.903683842077422	-0.997016889409895
0.22	0.82255600939075	-0.874529371331253
0.23	0.671209143936777	-0.640379173919481
0.24	0.50966109056384	-0.496038222654872
0.25	0.175701803144498	-0.315655788405352
0.26	0.0481680918484926	0.00832003997638822
