time	y	z
0	-0.0112462014425546	-0.0528098411858082
0.01	0.141095233560937	-0.159577168168536
0.02	0.405962137461401	-0.509431240471292
0.03	0.470296504612966	-0.680824419329472
0.04	0.657202621488877	-0.928915209214258
0.05	0.907110570004243	-0.942501252742206
0.06	0.862457685775043	-1.19065710381651
0.07	1.0484942184367	-1.31935625736549
0.08	1.04705793646941	-1.40301232028616
0.09	1.15531244006836	-1.55844506274702
0.1	1.35350837862056	-1.5808363562796
0.11	1.29186435551351	-1.60988654415749
0.12	1.26065072706889	-1.58899220473731
0.13	1.34520914674735	-1.63855393601234
0.14	1.24878563782199	-1.56655928900118
0.15	1.27479416682373	-1.5657891651489
0.16	1.21799457296697	-1.53331347774409
0.17	1.3433557726064	-1.55255756470112
0.18	1.29163593597607	-1.51114038892815
0.19	1.21821429397756	-1.38818852708538
0.2	1.13089262885757	-1.20573301845178
0.21	0.896510994524615	-1.0636508313571
0.22	0.908499384304542	-1.08605078071514
0.23	0.656008595540233	-0.809483097291607
0.24	0.594774865856349	-0.672277717883297
0.25	0.356777726814844	-0.356788849547718
0.26	0.254813001250314	-0.299984916642344
0.27	0.057083638664335	-0.0522325566504151
