time	y	z
0	-0.0586373433936387	0.0907826386857778
0.01	0.125413870418779	-0.323489334540969
0.02	0.259315226933233	-0.54514110405286
0.03	0.368902844972643	-0.71821934805771
0.04	0.492545990760169	-0.907068725444397
0.05	0.579855992465516	-1.00528801550383
0.06	0.741084941563514	-1.20154228312596
0.07	0.771506102551683	-1.3235586576677
0.08	0.936866464112098	-1.51269481590707
0.09	0.956258369992375	-1.57786120324734
0.1	0.979971303048684	-1.70078719130144
0.11	1.11733073191435	-1.61641966619343
0.12	1.24278304725171	-1.75326466640097
0.13	1.23127040452253	-1.70566694611516
0.14	1.10371519782366	-1.88189483786397
0.15	1.13872020043218	-1.8141354357677
0.16	1.26540883452561	-1.83799511274156
0.17	1.07540518254259	-1.8021921383274
0.18	1.1361957857357	-1.76537080693804
0.19	1.14881777991834	-1.63927477595754
0.2	1.09291198650457	-1.58562275939029
0.21	0.849925440568621	-1.3751161947729
0.22	0.788725232687756	-1.29808081291161
0.23	0.716335259045792	-1.24836094677149
0.24	0.707787152200242	-1.13452362330856
0.25	0.496266486610017	-0.943692257070934
0.26	0.467469501485782	-0.637263100934751
0.27	0.36197365453305	-0.476527559480714
0.28	0.119951362934297	-0.214822730901246
0.29	-0.00797214563935995	0.00271349288523197
