time	y	z
0	-0.061346816830337	-0.0446067936718464
0.01	0.0773396825406249	-0.346126104653043
0.02	0.203007534865841	-0.452651542321558
0.03	0.516910828157814	-0.593076628664294
0.04	0.580083209225481	-0.802335116853185
0.05	0.677201359388092	-1.1089185901685
0.06	0.714620233391269	-1.19307894177854
0.07	0.887515520600726	-1.37921630993295
0.08	0.821445805386183	-1.54504699042536
0.09	0.918550108831351	-1.67692181236348
0.1	1.09724998918039	-1.60370295840359
0.11	1.14431810599395	-1.84416230154112
0.12	1.13010671873661	-1.82470314410287
0.13	1.19034257534959	-1.84221453103863
0.14	1.0652798987605	-1.79630540777585
0.15	1.22958447771672	-1.93613349167286
0.16	1.19519858094	-1.78118170658752
0.17	1.08345529846	-1.79845953481975
0.18	1.0201564670691	-1.7609254351899
0.19	0.953533352694035	-1.64218753535344
0.2	0.970902397802075	-1.68192629638365
0.21	0.927411375979436	-1.58637808814183
0.22	0.820236364862074	-1.29569229000989
0.23	0.81095618858826	-1.29728522679888
0.24	0.728160511371353	-0.967208233219599
0.25	0.579865458882918	-0.971922170398003
0.26	0.326626734548734	-0.640425735324406
0.27	0.232810669785916	-0.57593193770271
0.28	0.228539332746296	-0.324354371842157
0.29	0.0285620673559606	0.0301175721455365
