time	y
0	-0.0847281107679009
0.01	0.31942996436787
0.02	0.562791210074662
0.03	0.681203422153711
0.04	0.955397696677139
0.05	0.969718422701734
0.06	1.1447184835247
0.07	1.33098304853775
0.08	1.44568605922087
0.09	1.53762046191271
0.1	1.54008308686696
0.11	1.72457523712869
0.12	1.78416228788069
0.13	1.7385860803423
0.14	1.86663204859942
0.15	1.81687403753191
0.16	1.6512060319083
0.17	1.79178199026715
0.18	1.57579778535672
0.19	1.45786083051365
0.2	1.40301481295301
0.21	1.37707368130796
0.22	1.14654991912313
0.23	0.989798874462176
0.24	0.774726792495242
0.25	0.633021331735298
0.26	0.509894386852845
0.27	0.151768872449745
0.28	-0.0874427740927786
