time	y	z
0	-0.0559028825256974	0.0429656507314877
0.01	0.284975710305572	-0.179977905097967
0.02	0.498382556509972	-0.260003615546222
0.03	0.613719689420238	-0.418779757607953
0.04	0.855808982883766	-0.38478739504142
0.05	1.17100214304402	-0.60725000308204
0.06	1.30671835211217	-0.611861475074269
0.07	1.3072340874847	-0.739781465162974
0.08	1.39890410448313	-0.849907651188694
0.09	1.63174528332911	-0.7659802636921
0.1	1.65223838591017	-0.859543431295
0.11	1.66340304578953	-1.01944736339227
0.12	1.77395630787574	-0.988242455183432
0.13	1.61262273184471	-1.06315924696463
0.14	1.59781704706438	-0.909298167495048
0.15	1.62762122691609	-0.90321081694096
0.16	1.56602172132134	-0.977165164578817
0.17	1.52781088277586	-0.876558584746204
0.18	1.35247051505446	-0.868901435993629
0.19	1.31910479841866	-0.922894116507412
0.2	0.995427230680361	-0.725516401575827
0.21	0.925891096216813	-0.634372153055765
0.22	0.761686629748717	-0.434772138249465
0.23	0.553911889415979	-0.282572693138748
0.24	0.21468423640281	-0.201081500009192
0.25	-0.0502739422023296	-0.0189954347589819
