time	y	z
0	-0.0698132847435772	0.0649099892656726
0.01	0.163606156787794	-0.116595145890292
0.02	0.283358111401342	-0.365488369876534
0.03	0.425829317116131	-0.481153225862547
0.04	0.521335124487044	-0.536413519320582
0.05	0.748408387981712	-0.623323095047719
0.06	0.824774358376991	-0.791006690748056
0.07	1.01784825144639	-0.842653489960193
0.08	1.13844203813163	-0.790692140006379
0.09	1.13686442290207	-0.84410054476319
0.1	1.16431692862024	-1.02961619514527
0.11	1.31982851930087	-1.06241328058319
0.12	1.2861138963413	-0.960140783898885
0.13	1.31963300858115	-1.05260325479569
0.14	1.32997525551093	-0.967204135851762
0.15	1.2479116967201	-1.02951818988353
0.16	1.21241844603282	-0.866512996598378
0.17	1.22969628961687	-0.990298936082579
0.18	1.28512975385537	-0.800082065438492
0.19	1.20462229019103	-0.868168619712588
0.2	1.09400895111037	-0.780791241183117
0.21	0.954294057881214	-0.654523638678557
0.22	0.874887523672784	-0.540717814878646
0.23	0.926863550443333	-0.63682343951384
0.24	0.788312444238349	-0.509320810512927
0.25	0.717809437012286	-0.438679832924571
0.26	0.460262002351646	-0.381715920572082
0.27	0.320675079181112	-0.250554430103311
0.28	0.0963555592177018	-0.0513990350710414
0.29	-0.0729001104366034	-0.0422038454532646
