curveId,Category,s1,s2,s3,s4,s5,s6,s7,s8
1,A,-0.21054437752623242,0.20918529799461932,-0.02330246297979073,0.04547468643914172,0.022796830442693768,-0.005869646679309554,-0.0017618073782311179,-0.012342081547347988
2,A,-0.20455260639583003,-0.07401114188266783,0.02485362591007926,-0.07582819581584342,-0.056635716729512495,0.022873426328959633,0.0016320736736352781,0.012636533062723724
3,A,-0.14565754380156198,0.16481862138223086,0.0031522867333583344,0.05086611996581663,0.01928166566090926,-0.0135828669716969,0.006284364294201842,0.018542149568378866
4,A,-0.1703081188135886,0.17299548712046098,-0.015321930179304909,0.05579974855414246,-1.1372104843509188e-4,0.016399248097236266,-0.01115097723597776,0.029807938962268837
5,A,-0.24508492530525472,-0.27049194036187574,-0.045150384749813414,-0.00482712281960611,0.05543460181608999,0.007844860133768082,-0.0381520960274759,-0.007009055221699149
6,A,-0.16952065654085524,0.26638901606230536,-0.0017237509659865978,-0.026341054588997118,0.05984602372128457,0.038075109955872016,-0.004801300985003588,0.01612957283324092
7,A,-0.25074902445059494,-0.11323432544072481,0.02358266277875909,0.004374415758558247,0.018988648818638435,-0.021619143191342317,-0.003686968268316933,0.014593721921570177
8,A,-0.2008532291704694,0.16171289693803184,-0.028710086789875636,-0.047951989065177926,-0.013734197144265109,-0.004611336090610901,0.01759234137591336,3.1961020368039407e-4
9,A,-0.13900696014945885,-0.24668325618881656,0.021075758652962726,0.024801125527115057,-0.020261785274470166,0.06141521728993539,0.02391119476321459,0.02489156924676276
10,A,-0.19762036362644875,-0.0968535281360198,-0.0366839952017424,0.04964961837558158,0.035173187288343864,-0.029809659235195435,-0.013550928573501491,-2.597758845285233e-4
11,A,-0.1771421756700248,-0.008342407543456333,0.0032317421558577374,-0.030378367558014114,-0.07455164400790297,-0.03346673875210236,-0.013872164110776897,0.009624555349630316
12,A,-0.20255850690193056,-0.02271317055370278,-0.06238406303186419,0.024970391511643257,-0.055816056207674575,0.011658038182652312,0.029884607950588202,0.012807002602937927
13,A,-0.20628798795938796,-0.009303071040654348,0.04785261477747984,-0.0322833851386334,-0.042479242060709105,0.012036050619677463,-0.003920921415262385,-0.028364311943897758
14,A,-0.22949540914051483,-0.046843328094224194,-0.005956071377020862,-0.006006534750404417,-0.03643577652844342,0.030297208483147407,0.008107239824118087,0.005738647286696366
15,A,-0.24592629713782427,0.05845337922936826,-0.011948012738453601,0.013687939905846484,-0.04453899007659505,0.008261350310146631,-0.028344081684329264,0.014428654396430794
16,A,-0.22814339150487606,-0.23486490988188943,0.029701063098690635,-0.008373146309855589,0.050280687771749086,-0.002766033237038972,0.02000098561823655,-0.0021298617388196958
17,A,-0.18370629928637458,0.05357654086580546,0.007607971443659416,-0.013247736799418377,-0.0361506266506456,0.02435774083082005,-0.006889871352924079,9.294280813270501e-4
18,A,-0.14293601818967408,0.16187570693690354,-0.0869716324962835,0.07155209742869242,0.0293275696783575,0.016088627519106904,0.009078059211925402,0.03605336579967068
19,A,-0.24060847991896853,0.24726768580775446,-0.06371654416992403,0.08651455892164236,-0.0031203737437253635,0.0279776324926945,-0.0015129497866416912,-0.018484086081403336
20,A,-0.2107626253685115,-0.2565906156901233,0.0013254157699936063,0.02918641586623106,0.014063849744569609,-0.0025033451308752565,0.0033408829498241155,0.01906502953805052
21,A,-0.22976416647575562,-0.16525444729976674,-0.009077331775248786,-0.010094290749199385,0.01886652086534057,-0.02972904570016372,-0.03890104104952053,0.018722646464357458
22,A,-0.21595100524753666,-0.035873050322914865,-0.0403922057066027,0.058985404601603814,0.005899618700309458,-0.03791954152289898,0.01857721814691918,0.014324963220602156
23,A,-0.21859833083470523,0.19200766162083344,0.019954342386694263,0.0471556366059794,0.013551299434073934,0.01554163272651299,0.008811949925406475,0.00819815666816122
24,A,-0.22826403389540395,0.11166363332603853,0.03529439205946035,0.03987192484455986,-0.0019235729379179188,-0.020891108516392407,0.004038703787824249,0.016524197064378767
25,A,-0.21302622604481883,0.13844156528224022,0.04119022455141368,-0.06787919574097201,-0.021692830603734885,0.0042989571806532475,0.005641982310103869,0.005654618264474642
26,A,-0.1994112925928457,-0.15748507991684527,0.014702656487890098,-0.0379986724549184,-0.022342687268118368,-0.006648481798904162,-0.033470222556687176,-0.023723610264909933
27,A,-0.15988304052822752,0.22147244944577418,0.03432256337440304,0.006838932604209556,0.054466400170252456,-0.013504777371085207,-0.011963101594018546,-0.0032912485810522958
