curveId,Category,s1,s2,s3,s4
1,PEAK,-0.049963263330192055,-0.0012426480462202805,5.354406152271258e-4,-4.621752130223223e-5
2,PEAK,-0.030268004628991572,0.002172075809425715,-3.8603122436304003e-4,7.084684243455803e-4
3,PEAK,-0.05947623871882204,9.185380536587566e-4,4.1492291577445976e-4,-4.7275434438009837e-4
4,PEAK,-0.04815858045717664,0.001172972962033379,2.402451442108371e-4,-3.2325171317128465e-5
5,PEAK,-0.040201697196263084,5.233659659390988e-4,2.974570108572883e-4,4.323948629217049e-4
6,PEAK,-0.035128290407557126,0.0019266153275671425,5.20554499901908e-4,2.752065056903835e-4
7,PEAK,-0.05599203248850673,-2.3818847390658622e-4,8.43793806516752e-4,-1.0106500483076377e-4
8,PEAK,-0.03532398601003806,9.004690719775677e-4,-5.900274511505054e-4,9.982779959996785e-5
9,PEAK,-0.04424671515261895,-0.0011406593154282166,4.5399031320569953e-4,1.1730237143055702e-4
10,PEAK,-0.03290792110663499,6.219698207426231e-4,4.2618467245799925e-4,2.577042731102685e-4
11,PEAK,-0.04252106705966344,0.001910158354684838,4.8777710002185457e-4,-9.178041613584938e-5
12,PEAK,-0.04702782216124422,6.510939718587032e-4,5.389874056482212e-4,-2.2926667596406898e-4
13,PEAK,-0.05118840124375757,-5.924548890378316e-4,4.952367760112863e-4,-1.3781554457428986e-4
14,PEAK,-0.04200613250824143,0.0017315170168382998,6.745770255432722e-5,-3.3461455322833473e-4
15,PEAK,-0.052900460687138856,0.0018522534632588726,-1.9976311532094975e-4,4.317724432503575e-4
16,PEAK,-0.05000270505276142,-9.879281691773922e-5,8.041443901984928e-4,-1.066349888813075e-4
17,PEAK,-0.047127461734693316,-4.7676769709536175e-4,-2.2451272599159725e-4,-1.1438115924564784e-4
18,PEAK,-0.027592649227998405,3.333919739410899e-4,-8.25619950188811e-5,-2.421776084037185e-4
19,PEAK,-0.05226821131881587,9.2499622369049e-4,-5.879567845481451e-4,-1.958720377162645e-4
20,PEAK,-0.05239673177943211,0.0013769060255496568,4.5786427631867746e-4,7.654370206551339e-5
21,PEAK,-0.027700249334844877,8.461101952953746e-4,8.807169405492087e-4,-2.5642255992106575e-4
22,PEAK,-0.03078455394941968,0.0014484482011719868,0.0010509397742538929,-4.8518940030143324e-4
23,PEAK,-0.048209932249903456,1.3332063784493394e-5,5.649666587051965e-4,3.6610902842509283e-4
24,PEAK,-0.027560513374221662,-0.0010041366729254993,8.489055544151664e-5,1.9703480146775676e-4
25,PEAK,-0.024404110475398495,7.578555876652967e-4,2.3557104136299973e-4,-1.614054689939408e-4
26,PEAK,-0.03081356077889872,5.109203885827129e-4,-3.1506634294726836e-5,-3.604033515958246e-5
27,PEAK,-0.0451601422129089,0.0013134406066086146,-2.5531595725545263e-4,-5.420740105735453e-4
28,PEAK,-0.02792824793041187,-1.2467414542939253e-4,-6.831046713268659e-4,5.632976325847356e-4
29,PEAK,-0.03719848104597686,3.982745899925231e-4,-3.8202232122711574e-4,-1.9169996713465435e-4
30,PEAK,-0.045134144720513594,0.0010627327699678673,1.250195503691845e-4,-2.9404043012759643e-4
31,PEAK,-0.043318824721133596,4.724059777991924e-5,5.106727740801072e-4,3.2864276529206582e-6
32,PEAK,-0.051409457687955754,0.0011205219631215972,-5.716446262462942e-5,2.143681479434568e-4
33,PEAK,-0.05171454939989602,-3.396976817182871e-5,2.177630081867581e-4,1.1238895573532955e-4
34,PEAK,-0.043592567117292313,5.974944099599778e-4,-3.785677873093659e-4,3.07398939817868e-4
35,PEAK,-0.03417268720039101,-3.241022294182296e-4,2.192346694531069e-4,-6.431596542968033e-5
36,PEAK,-0.035219303376089,-0.0014902191336612332,7.710987170620571e-4,-3.9121392873241943e-4
37,PEAK,-0.03816280908228571,0.0013708048455322406,-6.565548579573802e-4,-5.3172408517309185e-5
38,PEAK,-0.03428380096468498,-6.389107641927434e-4,-3.579232694849647e-4,7.893790786717291e-5
39,PEAK,-0.0296543748508336,7.176250741377029e-4,-6.614522107809817e-5,3.060173969452364e-4
40,PEAK,-0.029317558624366632,3.2434212683214774e-4,-2.0018931199848112e-4,2.59816690269083e-4
41,PEAK,-0.027349906665715462,-7.680592753880643e-4,0.001349299928192261,-6.36589521558731e-4
42,PEAK,-0.04641944085092501,4.6896864464443907e-4,-2.7171815575991246e-4,-9.114492607040377e-5
43,PEAK,-0.04416019715786196,8.575790499410807e-4,-3.044347367779192e-5,4.694937175882409e-4
